C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Pat Metheny - Expansion.mp3	Pat Metheny	Expansion
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Patricia Barber - Scream.mp3	Patricia Barber	Scream
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Rebecca Martin - Beholden.mp3	Rebecca Martin	Beholden
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Rebecca Martin - God is in the Details.mp3	Rebecca Martin	God is in the Details
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Wayne Shorter - Plaza Real.mp3	Wayne Shorter	Plaza Real
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Air Supply - All Out of Love.mp3	Air Supply	All Out of Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Bee Gees - How Can You Mend A Broken Heart.mp3	Bee Gees	How Can You Mend A Broken Heart
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Commodores - Three Times A Lady.mp3	Commodores	Three Times A Lady
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Elton John - Can You Feel The Love Tonight.mp3	Elton John	Can You Feel The Love Tonight
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Enrique Iglesias - Hero.mp3	Enrique Iglesias	Hero
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Etta James - I Just Wanna Make Love To You.mp3	Etta James	I Just Wanna Make Love To You
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Extreme - More Than Words.mp3	Extreme	More Than Words
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Foreigner - I Want To Know What Love Is.mp3	Foreigner	I Want To Know What Love Is
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\John Paul Young - Love Is In The Air.mp3	John Paul Young	Love Is In The Air
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Lionel Richie & The Commodores - Endless Love (with Diana Ross).mp3	Lionel Richie & The Commodores	Endless Love (with Diana Ross)
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Marvin Gaye - How Sweet It Is.mp3	Marvin Gaye	How Sweet It Is
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Robbie Williams - Angels.mp3	Robbie Williams	Angels
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Ronan Keating - When You Say Nothing At All.mp3	Ronan Keating	When You Say Nothing At All
